Country,Wave,Age_Group,B001,B002,B003,B008
ALB,3,1,,57.45164960182025,,44.66130884041332
ALB,3,2,,57.45164960182025,,44.66130884041332
ALB,3,3,,57.45164960182025,,44.66130884041332
ALB,4,1,70.1098901098901,62.60964912280702,62.84454244762955,47.576099210822996
ALB,4,2,70.1098901098901,62.60964912280702,62.84454244762955,47.576099210822996
ALB,4,3,70.1098901098901,62.60964912280702,62.84454244762955,47.576099210822996
AND,5,1,62.81661600810538,62.903225806451616,68.92028254288597,83.82204246713853
AND,5,2,62.81661600810538,62.903225806451616,68.92028254288597,83.82204246713853
AND,5,3,62.81661600810538,62.903225806451616,68.92028254288597,83.82204246713853
AND,7,1,,,,74.31192660550458
AND,7,2,,,,74.31192660550458
AND,7,3,,,,74.31192660550458
ARG,2,1,62.097611630321914,50.2606882168926,71.74139728884255,
ARG,2,2,62.097611630321914,50.2606882168926,71.74139728884255,
ARG,2,3,62.097611630321914,50.2606882168926,71.74139728884255,
ARG,3,1,,46.57142857142857,,44.45534838076546
ARG,3,2,,46.57142857142857,,44.45534838076546
ARG,3,3,,46.57142857142857,,44.45534838076546
ARG,4,1,66.77551020408163,41.26333059885152,86.46677471636953,45.4390451832907
ARG,4,2,66.77551020408163,41.26333059885152,86.46677471636953,45.4390451832907
ARG,4,3,66.77551020408163,41.26333059885152,86.46677471636953,45.4390451832907
ARG,5,1,56.45330535152151,43.78265412748171,86.72936259143155,73.70689655172413
ARG,5,2,56.45330535152151,43.78265412748171,86.72936259143155,73.70689655172413
ARG,5,3,56.45330535152151,43.78265412748171,86.72936259143155,73.70689655172413
ARG,6,1,,,,61.430119176598055
ARG,6,2,,,,61.430119176598055
ARG,6,3,,,,61.430119176598055
ARG,7,1,,,,47.344632768361585
ARG,7,2,,,,47.344632768361585
ARG,7,3,,,,47.344632768361585
ARM,3,1,,56.92549842602308,,43.96999422965955
ARM,3,2,,56.92549842602308,,43.96999422965955
ARM,3,3,,56.92549842602308,,43.96999422965955
ARM,6,1,,,,43.8877755511022
ARM,6,2,,,,43.8877755511022
ARM,6,3,,,,43.8877755511022
ARM,7,1,,,,50.04262574595055
ARM,7,2,,,,50.04262574595055
ARM,7,3,,,,50.04262574595055
AUS,3,1,,68.70342771982116,,61.243052046488124
AUS,3,2,,68.70342771982116,,61.243052046488124
AUS,3,3,,68.70342771982116,,61.243052046488124
AUS,5,1,58.972503617945,58.152958152958156,62.725306416726745,67.34545454545454
AUS,5,2,58.972503617945,58.152958152958156,62.725306416726745,67.34545454545454
AUS,5,3,58.972503617945,58.152958152958156,62.725306416726745,67.34545454545454
AUS,6,1,,,,60.59147180192572
AUS,6,2,,,,60.59147180192572
AUS,6,3,,,,60.59147180192572
AUS,7,1,,,,67.32617297908423
AUS,7,2,,,,67.32617297908423
AUS,7,3,,,,67.32617297908423
AZE,3,1,,54.87674169346195,,50.169875424688556
AZE,3,2,,54.87674169346195,,50.169875424688556
AZE,3,3,,54.87674169346195,,50.169875424688556
AZE,6,1,,,,34.90471414242728
AZE,6,2,,,,34.90471414242728
AZE,6,3,,,,34.90471414242728
BFA,5,1,80.49132947976878,75.26804860614725,71.41833810888252,55.700325732899024
BFA,5,2,80.49132947976878,75.26804860614725,71.41833810888252,55.700325732899024
BFA,5,3,80.49132947976878,75.26804860614725,71.41833810888252,55.700325732899024
BGD,3,1,,89.11111111111111,,45.881447267128564
BGD,3,2,,89.11111111111111,,45.881447267128564
BGD,3,3,,89.11111111111111,,45.881447267128564
BGD,4,1,79.44606413994168,75.80174927113703,96.41891891891892,54.90196078431373
BGD,4,2,79.44606413994168,75.80174927113703,96.41891891891892,54.90196078431373
BGD,4,3,79.44606413994168,75.80174927113703,96.41891891891892,54.90196078431373
BGD,7,1,,,,47.65694076038904
BGD,7,2,,,,47.65694076038904
BGD,7,3,,,,47.65694076038904
BGR,3,1,,61.795166858457996,,43.324607329842934
BGR,3,2,,61.795166858457996,,43.324607329842934
BGR,3,3,,61.795166858457996,,43.324607329842934
BGR,5,1,57.27069351230425,51.118568232662184,76.42543859649122,46.98224852071006
BGR,5,2,57.27069351230425,51.118568232662184,76.42543859649122,46.98224852071006
BGR,5,3,57.27069351230425,51.118568232662184,76.42543859649122,46.98224852071006
BIH,3,1,,65.70175438596492,,42.65927977839335
BIH,3,2,,65.70175438596492,,42.65927977839335
BIH,3,3,,65.70175438596492,,42.65927977839335
BIH,4,1,75.66867989646246,70.34482758620689,62.7906976744186,42.297650130548305
BIH,4,2,75.66867989646246,70.34482758620689,62.7906976744186,42.297650130548305
BIH,4,3,75.66867989646246,70.34482758620689,62.7906976744186,42.297650130548305
BLR,2,1,,67.24313326551373,,
BLR,2,2,,67.24313326551373,,
BLR,2,3,,67.24313326551373,,
BLR,3,1,,66.24737945492663,,57.629960871995536
BLR,3,2,,66.24737945492663,,57.629960871995536
BLR,3,3,,66.24737945492663,,57.629960871995536
BLR,6,1,,,,58.032128514056225
BLR,6,2,,,,58.032128514056225
BLR,6,3,,,,58.032128514056225
BOL,7,1,,,,73.41961174713788
BOL,7,2,,,,73.41961174713788
BOL,7,3,,,,73.41961174713788
BRA,2,1,72.7013135351228,71.15933752141633,64.63834672789896,
BRA,2,2,72.7013135351228,71.15933752141633,64.63834672789896,
BRA,2,3,72.7013135351228,71.15933752141633,64.63834672789896,
BRA,3,1,,73.1211317418214,,49.00181488203267
BRA,3,2,,73.1211317418214,,49.00181488203267
BRA,3,3,,73.1211317418214,,49.00181488203267
BRA,5,1,52.98057602143336,50.033534540576795,81.67785234899328,63.617318435754186
BRA,5,2,52.98057602143336,50.033534540576795,81.67785234899328,63.617318435754186
BRA,5,3,52.98057602143336,50.033534540576795,81.67785234899328,63.617318435754186
BRA,6,1,,,,65.8625730994152
BRA,6,2,,,,65.8625730994152
BRA,6,3,,,,65.8625730994152
BRA,7,1,,,,64.4878706199461
BRA,7,2,,,,64.4878706199461
BRA,7,3,,,,64.4878706199461
CAN,4,1,69.65699208443272,59.40803382663847,63.72289793759916,63.25203252032521
CAN,4,2,69.65699208443272,59.40803382663847,63.72289793759916,63.25203252032521
CAN,4,3,69.65699208443272,59.40803382663847,63.72289793759916,63.25203252032521
CAN,5,1,70.25986525505293,63.73679154658982,65.30805687203791,70.56213017751479
CAN,5,2,70.25986525505293,63.73679154658982,65.30805687203791,70.56213017751479
CAN,5,3,70.25986525505293,63.73679154658982,65.30805687203791,70.56213017751479
CAN,7,1,,,,61.24937779990045
CAN,7,2,,,,61.24937779990045
CAN,7,3,,,,61.24937779990045
CHE,3,1,,43.005181347150256,,43.027522935779814
CHE,3,2,,43.005181347150256,,43.027522935779814
CHE,3,3,,43.005181347150256,,43.027522935779814
CHE,5,1,64.51349141455437,59.721082854799015,48.72006606110653,74.57482993197279
CHE,5,2,64.51349141455437,59.721082854799015,48.72006606110653,74.57482993197279
CHE,5,3,64.51349141455437,59.721082854799015,48.72006606110653,74.57482993197279
CHL,2,1,84.23545331529093,76.16120218579235,57.865937072503414,
CHL,2,2,84.23545331529093,76.16120218579235,57.865937072503414,
CHL,2,3,84.23545331529093,76.16120218579235,57.865937072503414,
CHL,3,1,,60.550458715596335,,56.18556701030928
CHL,3,2,,60.550458715596335,,56.18556701030928
CHL,3,3,,60.550458715596335,,56.18556701030928
CHL,4,1,70.35132819194516,62.71331058020478,73.51676698194325,50.78260869565218
CHL,4,2,70.35132819194516,62.71331058020478,73.51676698194325,50.78260869565218
CHL,4,3,70.35132819194516,62.71331058020478,73.51676698194325,50.78260869565218
CHL,5,1,56.85441020191286,52.53699788583509,84.3558282208589,67.74541531823085
CHL,5,2,56.85441020191286,52.53699788583509,84.3558282208589,67.74541531823085
CHL,5,3,56.85441020191286,52.53699788583509,84.3558282208589,67.74541531823085
CHL,6,1,,,,70.50739957716702
CHL,6,2,,,,70.50739957716702
CHL,6,3,,,,70.50739957716702
CHL,7,1,,,,56.33507853403141
CHL,7,2,,,,56.33507853403141
CHL,7,3,,,,56.33507853403141
CHN,2,1,77.9835390946502,82.4074074074074,46.10655737704918,
CHN,2,2,77.9835390946502,82.4074074074074,46.10655737704918,
CHN,2,3,77.9835390946502,82.4074074074074,46.10655737704918,
CHN,3,1,,82.9090909090909,,60.31372549019608
CHN,3,2,,82.9090909090909,,60.31372549019608
CHN,3,3,,82.9090909090909,,60.31372549019608
CHN,4,1,81.9910514541387,74.3413516609393,35.67383918459796,60.726846424384526
CHN,4,2,81.9910514541387,74.3413516609393,35.67383918459796,60.726846424384526
CHN,4,3,81.9910514541387,74.3413516609393,35.67383918459796,60.726846424384526
CHN,5,1,82.28369629193644,73.96520695860828,40.35608308605341,64.57925636007828
CHN,5,2,82.28369629193644,73.96520695860828,40.35608308605341,64.57925636007828
CHN,5,3,82.28369629193644,73.96520695860828,40.35608308605341,64.57925636007828
CHN,6,1,,,,65.70561456752657
CHN,6,2,,,,65.70561456752657
CHN,6,3,,,,65.70561456752657
CHN,7,1,,,,68.71880199667221
CHN,7,2,,,,68.71880199667221
CHN,7,3,,,,68.71880199667221
COL,3,1,,67.39495798319328,,
COL,3,2,,67.39495798319328,,
COL,3,3,,67.39495798319328,,
COL,5,1,,,,69.93702353331123
COL,5,2,,,,69.93702353331123
COL,5,3,,,,69.93702353331123
COL,6,1,,,,67.98657718120805
COL,6,2,,,,67.98657718120805
COL,6,3,,,,67.98657718120805
COL,7,1,,,,69.66887417218544
COL,7,2,,,,69.66887417218544
COL,7,3,,,,69.66887417218544
CYP,5,1,73.35243553008596,63.132760267430754,69.40726577437859,63.55769230769231
CYP,5,2,73.35243553008596,63.132760267430754,69.40726577437859,63.55769230769231
CYP,5,3,73.35243553008596,63.132760267430754,69.40726577437859,63.55769230769231
CYP,6,1,,,,45.11201629327902
CYP,6,2,,,,45.11201629327902
CYP,6,3,,,,45.11201629327902
CYP,7,1,,,,52.18818380743983
CYP,7,2,,,,52.18818380743983
CYP,7,3,,,,52.18818380743983
CZE,2,1,80.931744312026,71.72264355362947,39.54496208017335,
CZE,2,2,80.931744312026,71.72264355362947,39.54496208017335,
CZE,2,3,80.931744312026,71.72264355362947,39.54496208017335,
CZE,3,1,,64.70588235294117,,52.924528301886795
CZE,3,2,,64.70588235294117,,52.924528301886795
CZE,3,3,,64.70588235294117,,52.924528301886795
CZE,7,1,,,,46.98795180722892
CZE,7,2,,,,46.98795180722892
CZE,7,3,,,,46.98795180722892
DEU,3,1,,65.37882589061716,,39.46280991735537
DEU,3,2,,65.37882589061716,,39.46280991735537
DEU,3,3,,65.37882589061716,,39.46280991735537
DEU,5,1,35.35769428718476,26.36409994900561,75.84638706417383,36.627906976744185
DEU,5,2,35.35769428718476,26.36409994900561,75.84638706417383,36.627906976744185
DEU,5,3,35.35769428718476,26.36409994900561,75.84638706417383,36.627906976744185
DEU,6,1,,,,47.0440881763527
DEU,6,2,,,,47.0440881763527
DEU,6,3,,,,47.0440881763527
DEU,7,1,,,,66.46090534979425
DEU,7,2,,,,66.46090534979425
DEU,7,3,,,,66.46090534979425
DOM,3,1,,86.24078624078624,,71.76165803108809
DOM,3,2,,86.24078624078624,,71.76165803108809
DOM,3,3,,86.24078624078624,,71.76165803108809
DZA,4,1,,,,33.572068039391226
DZA,4,2,,,,33.572068039391226
DZA,4,3,,,,33.572068039391226
DZA,6,1,,,,38.265306122448976
DZA,6,2,,,,38.265306122448976
DZA,6,3,,,,38.265306122448976
ECU,6,1,,,,62.214708368554525
ECU,6,2,,,,62.214708368554525
ECU,6,3,,,,62.214708368554525
ECU,7,1,,,,57.19207579672696
ECU,7,2,,,,57.19207579672696
ECU,7,3,,,,57.19207579672696
EGY,4,1,,,,51.461202552905604
EGY,4,2,,,,51.461202552905604
EGY,4,3,,,,51.461202552905604
