Country,Wave,B001,B002,B003,B008
JPN,5,64.90066225165563,54.48717948717948,56.57894736842105,55.118110236220474
JPN,6,,,,39.247311827956985
JPN,7,,,,41.333333333333336
KAZ,6,,,,52.94117647058824
KAZ,7,,,,47.25274725274725
KEN,7,,,,49.48453608247423
KGZ,4,84.14322250639387,56.041131105398456,53.94736842105263,51.554404145077726
KGZ,6,,,,58.298755186722
KGZ,7,,,,63.60655737704918
KOR,2,88.61386138613861,72.636815920398,47.76119402985074,
KOR,3,,74.62311557788944,,66.66666666666666
KOR,4,83.0827067669173,52.53623188405797,66.05839416058394,48.1203007518797
KOR,5,78.33935018050542,55.03597122302158,69.06474820143885,44.60431654676259
KOR,6,,,,51.61290322580645
KOR,7,,,,56.85483870967742
KWT,6,,,,29.945054945054945
LBN,6,,,,39.95157384987893
LBN,7,,,,33.42696629213483
LBY,6,,,,53.82003395585738
LBY,7,,,,42.084942084942085
LTU,3,,55.5045871559633,,39.66480446927375
LVA,3,,58.333333333333336,,42.33576642335766
MAC,7,,,,73.5191637630662
MAR,4,,,,48.8013698630137
MAR,5,46.81724845995893,42.35537190082644,92.32365145228216,53.896103896103895
MAR,6,,,,63.07339449541285
MAR,7,,,,47.665847665847664
MDA,3,,66.66666666666666,,55.66502463054187
MDA,4,70.68273092369478,41.27659574468085,60.42553191489362,53.53982300884957
MDA,5,61.87050359712231,51.590106007067135,74.91166077738515,58.333333333333336
MDV,7,,,,48.433048433048434
MEX,2,83.00153139356816,69.37212863705973,34.4984802431611,
MEX,3,,57.274119448698315,,58.756137479541735
MEX,4,82.6492537313433,60.0375234521576,69.61538461538461,59.84095427435388
MEX,5,87.42514970059881,74.8502994011976,64.2570281124498,60.04184100418411
MEX,6,,,,67.4025974025974
MEX,7,,,,56.812933025404156
MKD,3,,67.12328767123287,,53.09734513274337
MKD,4,78.59922178988327,63.921568627450974,79.92277992277992,49.2
MLI,5,81.437125748503,78.60000000000001,77.1255060728745,50.38167938931297
MMR,7,,,,52.45398773006135
MNE,3,,76.74418604651163,,45.23809523809524
MNE,4,67.10526315789474,67.72727272727272,74.53703703703704,36.36363636363637
MNG,7,,,,52.04918032786885
MYS,5,61.37931034482759,55.68965517241379,84.77508650519032,47.66839378238342
MYS,6,,,,73.05555555555556
MYS,7,,,,63.24582338902148
NGA,2,77.11069418386491,59.96204933586338,61.95856873822976,
NGA,3,,62.774566473988436,,31.845597104945718
NGA,4,,,,45.99627560521415
NGA,6,,,,33.66935483870967
NGA,7,,,,43.28358208955223
NIC,7,,,,67.1259842519685
NIR,7,,,,61.36363636363637
NLD,5,,,,46.118721461187214
NLD,6,,,,47.74193548387097
NLD,7,,,,75.35211267605634
NOR,3,,81.64794007490637,,65.67164179104478
NOR,5,61.979166666666664,61.979166666666664,49.21465968586388,75.39267015706807
NZL,3,,50.0,,61.78861788617886
NZL,5,38.613861386138616,47.524752475247524,72.11538461538461,72.22222222222221
NZL,6,,,,61.72839506172839
NZL,7,,,,76.47058823529412
PAK,3,,,,52.98245614035088
PAK,4,,,,7.919254658385093
PAK,6,,,,46.97986577181208
PAK,7,,,,48.11643835616438
PER,3,,68.06387225548902,,45.57235421166307
PER,4,81.84931506849315,54.468802698145026,69.13793103448276,62.454873646209386
PER,5,80.30018761726079,69.28838951310861,72.96296296296296,67.87072243346007
PER,6,,,,70.33248081841433
PER,7,,,,64.69194312796208
PHL,3,,59.009009009009006,,71.62471395881008
PHL,4,79.29292929292929,70.35175879396985,69.84924623115577,68.9119170984456
PHL,6,,,,66.31205673758865
PHL,7,,,,71.32352941176471
POL,3,,63.95939086294417,,51.64835164835166
POL,5,51.072961373390555,42.48927038626609,76.39484978540773,44.907407407407405
POL,6,,,,38.62433862433862
PRI,3,,83.50515463917526,,73.01587301587301
PRI,4,83.33333333333334,76.38888888888889,63.829787234042556,68.30985915492957
PRI,7,,,,71.70731707317073
PSE,6,,,,50.815217391304344
QAT,6,,,,59.03225806451613
ROU,3,,71.72413793103448,,50.73529411764706
ROU,5,40.909090909090914,34.72222222222222,83.39100346020761,52.901023890784984
ROU,6,,,,39.66942148760331
ROU,7,,,,41.55844155844156
RUS,2,78.45804988662131,67.12962962962963,42.720763723150355,
RUS,3,,70.77363896848138,,63.1578947368421
RUS,5,,,,46.05009633911368
RUS,6,,,,53.29457364341085
RUS,7,,,,47.04225352112676
RWA,5,65.2241112828439,65.27131782945736,75.22935779816514,58.333333333333336
RWA,6,,,,21.54340836012862
SAU,4,,,,35.94306049822064
SGP,4,74.13294797687861,54.91329479768786,65.7514450867052,43.54136429608128
SGP,6,,,,44.599303135888505
SGP,7,,,,66.0377358490566
SLV,3,,89.33901918976545,,86.18421052631578
SRB,3,,74.59677419354838,,43.90243902439025
SRB,4,80.56872037914692,72.6829268292683,58.6046511627907,40.0
SRB,5,53.68421052631579,46.09929078014184,64.46886446886447,50.993377483443716
SRB,7,,,,47.16981132075472
SVK,2,75.21367521367522,56.41025641025641,56.41025641025641,
SVK,3,,58.29383886255924,,52.19512195121951
SVK,7,,,,56.43564356435643
SVN,3,,70.86956521739131,,55.309734513274336
SVN,5,72.72727272727273,58.63636363636363,52.55813953488372,54.20560747663551
SVN,6,,,,45.614035087719294
SWE,3,,87.8048780487805,,70.25641025641025
SWE,4,82.51121076233184,81.25,29.411764705882355,74.88151658767772
SWE,5,68.27956989247312,69.89247311827957,30.107526881720432,62.70270270270271
SWE,6,,,,49.30555555555556
THA,5,88.63636363636364,73.48484848484848,63.0188679245283,54.166666666666664
THA,6,,,,60.13986013986013
THA,7,,,,59.04255319148937
TJK,7,,,,43.103448275862064
TTO,5,77.00348432055749,58.94736842105262,75.26132404181185,57.81818181818181
TUN,6,,,,38.05104408352668
TUN,7,,,,36.666666666666664
TUR,2,,75.90673575129534,,
TUR,3,,82.51057827926658,,54.6742209631728
TUR,4,,,,68.20049301561217
TUR,5,80.56603773584906,76.60377358490567,73.66412213740458,56.21414913957935
TUR,6,,,,55.25773195876289
TUR,7,,,,60.149253731343286
TWN,3,,84.61538461538461,,74.35897435897436
TWN,5,89.16083916083916,76.57342657342657,26.573426573426573,55.24475524475524
TWN,6,,,,73.17073170731707
TWN,7,,,,78.53658536585367
TZA,4,82.90155440414507,71.46529562982005,68.35820895522387,60.05291005291006
UGA,4,44.96124031007752,43.63295880149813,60.893854748603346,35.16068052930057
UKR,3,,62.5,,53.34928229665071
UKR,5,49.812734082397,53.61216730038023,86.23188405797102,50.66079295154186
UKR,6,,,,43.916913946587535
UKR,7,,,,56.70731707317073
URY,3,,60.747663551401864,,65.3061224489796
URY,5,41.77777777777778,45.414847161572055,84.78260869565217,50.0
URY,6,,,,70.3862660944206
URY,7,,,,73.50993377483444
USA,3,,61.135371179039296,,54.54545454545454
USA,4,66.88741721854305,57.615894039735096,58.27814569536424,54.761904761904766
USA,5,50.0,46.85990338164252,71.15384615384616,54.807692307692314
USA,6,,,,46.41909814323608
USA,7,,,,61.873990306946695
UZB,6,,,,64.32038834951457
UZB,7,,,,52.4822695035461
VEN,3,,68.52678571428571,,49.64705882352941
VEN,4,,,,69.27966101694916
VEN,7,,,,38.78504672897196
VNM,4,98.13953488372093,91.4691943127962,37.32057416267943,59.90338164251207
VNM,5,96.91211401425178,90.70904645476773,46.601941747572816,59.06976744186046
VNM,7,,,,67.93478260869566
YEM,6,,,,40.863787375415285
ZAF,3,,46.682750301568156,,29.30232558139535
ZAF,4,57.676348547717836,45.02074688796681,74.52165156092649,35.75757575757576
ZAF,5,53.404255319148945,46.07218683651805,76.57378740970073,29.387331256490135
ZAF,6,,,,36.722306525037936
ZMB,5,50.232018561484914,46.48212226066897,67.84897025171624,36.25866050808314
ZWE,4,71.36363636363636,51.37614678899083,65.990990990991,38.7308533916849
ZWE,6,,,,37.92633015006821
ZWE,7,,,,52.00945626477541
